folder,company,role,location,site,ats_score,status,apply_url,generated_at
output/Amazoncom__2026_Software_Dev_Engineer_I__20260428__indeed,Amazon.com,2026 Software Dev Engineer Intern - UK,"London, ENG, GB",indeed,34,done,https://uk.indeed.com/viewjob?jk=3bae2d38a9b99810,2026-04-28T21:21:13.365992
output/Amazoncom__2026_Software_Dev_Engineer_I__20260428__indeed,Amazon.com,2026 Software Dev Engineer Intern - UK,"Cambridge, ENG, GB",indeed,34,done,https://uk.indeed.com/viewjob?jk=542554197e26d5bd,2026-04-28T21:21:41.235543
output/Amazoncom__2026_Software_Dev_Engineer_I__20260428__indeed,Amazon.com,2026 Software Dev Engineer Intern - UK,"Edinburgh, SCT, GB",indeed,34,done,https://uk.indeed.com/viewjob?jk=476c16c9636e3229,2026-04-28T21:22:08.989000
output/Mindrift__Machine_Learning_Developer_F__London__20260428__linkedin,Mindrift,Machine Learning Developer (Freelance),"London, England, UK",linkedin,25,done,https://www.linkedin.com/jobs/view/4407183829,2026-04-28T22:12:08.478560
output/CipherTek_Recruitment__Artificial_Intelligence_Engi__London__20260428__linkedin,CipherTek Recruitment,Artificial Intelligence Engineer,"London, England, UK",linkedin,35,done,https://www.linkedin.com/jobs/view/4403480353,2026-04-28T22:12:36.732229
output/Mindrift__Freelance_Machine_Learning_E__London__20260428__linkedin,Mindrift,Freelance Machine Learning Engineer,"London, England, UK",linkedin,25,done,https://www.linkedin.com/jobs/view/4404678699,2026-04-28T22:13:03.988817
output/Hunter_Bond__AI_Engineer_-_Up_to_100k_Bas__London_Area__20260428__linkedin,Hunter Bond,AI Engineer - Up to £100k Base Salary + Bonus,"London Area, United Kingdom",linkedin,51,done,https://www.linkedin.com/jobs/view/4405132528,2026-04-28T22:13:33.319345
output/Hunter_Bond__AI_Engineer_-_Up_To_100000_P__London_Area__20260428__linkedin,Hunter Bond,"AI Engineer - Up To £100,000 P/A - London - Hybrid","London Area, United Kingdom",linkedin,51,done,https://www.linkedin.com/jobs/view/4405141691,2026-04-28T22:14:02.048102
output/numi__AI_Software_Engineer__London_Area__20260428__linkedin,numi,AI Software Engineer,"London Area, United Kingdom",linkedin,23,skipped (ATS 23),https://www.linkedin.com/jobs/view/4405525244,2026-04-28T22:14:31.863730
output/Digital_Waffle__Machine_Learning_Engineer__City_Of_London__20260428__linkedin,Digital Waffle,Machine Learning Engineer,"City Of London, England, UK",linkedin,26,done,https://www.linkedin.com/jobs/view/4406529589,2026-04-28T22:14:37.089772
